,text,pred,rob_label,score
35,Great article by @danbarryNYT  If this were a movie the hero would be played by a heavier set @tomhanks and the villain by a younger @RobLowe Just wish we all could give this story a happier ending.  https://t.co/RGo8pGlSiw,1,POSITIVE,0.9962292
36,"@AHMalcolm now that's wise, Andrew!",1,POSITIVE,0.9934773
37,"""An entire train station full of used books"" http://tinyurl.com/3v468nb",0,NEGATIVE,0.99820906
38,Covering all things #coronavirus  for @foxnewsnight with @Jeff_Paul @RickLeventhal @kevincorke @LelandVittert @ShannonBream https://t.co/hsIZcbcO1U,1,POSITIVE,0.99707204
39,"@ococonuts A heck of a run, Conall. And the very best of luck in your next chapter.",1,POSITIVE,0.99868095
40,"Congrats to the NYT's Pulitzer winners, including not just @brianmrosenthal @mschwirtz @malachybrowne @nhannahjones and so many others, but also ""Murder Hornet"" @ByMikeBaker and his former @seattletimes colleagues for their fierce Boeing MAX reporting",1,POSITIVE,0.99882156
41,"""His being a megafunder can’t allow for, or excuse, this behavior, and it has"": Chilling investigation into a powerful NYC figure by @sharonNYT @hannah_dreyfus https://t.co/F8oqVJPDRO via @NYTMetro @ProPublica",1,POSITIVE,0.98315966
42,IT BEGINS: AOC Says It’s Time to ‘Expand the Courts’ After Senate Confirms Judge Barrett https://t.co/pmTZXEzfTV,0,NEGATIVE,0.98969877
43,"USPS Whistleblower Claims Political Bias in Pennsylvania, New Footage Released https://t.co/LhOE2o8Wcz",0,NEGATIVE,0.99800074
44,Ha! I need to see this ... https://t.co/RgmNJDyS2F,1,POSITIVE,0.9981326
45,Your 2015 #WTAEliteTrophy champion @VenusesWilliams &amp; finalist @KaPliskova--&gt; https://t.co/U6XPtGyLvv https://t.co/u2d20q6yLv,1,POSITIVE,0.9963326
46,Biden Campaign Staffer Introduces Kamala Harris as ‘the Next President of the United States’ https://t.co/iNaw3RV7mN,0,NEGATIVE,0.9799711
47,At the @OfficialKimora #nyfw show @ Black Door https://t.co/4voOS0NLGG,1,POSITIVE,0.9969698
48,"Instead of kicking off with direct Qs to Judge Barrett, Sen Judiciary Comm Chair @LindseyGrahamSC is making his argument against the #ACA.  Yesterday, Dem Senators made it centerpiece of their opening statements.",0,NEGATIVE,0.9990294
49,who’s looking forward to @outnumberedfnc today? Hope you’ll join us 12-1 foxnews!! https://t.co/qpGoZUYpG1,1,POSITIVE,0.9986305
50,#dotard was actually comparatively diplomatic of the NKorean leader @AP analysis finds  https://t.co/mpzxI3RjWU,1,POSITIVE,0.9862181
51,"Thank you to all the loyal @FoxNews viewers who spend some of their Sundays with us! Arthel and I landed at #7,,, Mickey Mantle and Jose Reyes. Ain't too shabby! #FoxNews #ratings #news #Cablenews #televisionnews #tv #tvnews #journalism #fox https://t.co/7xXPzlQLSx",1,POSITIVE,0.99862456
52,"Jason Isbell's ""Codeine"" gets the love it deserves. http://t.co/LjhPahE0",1,POSITIVE,0.99861676
53,"Topsy-turvy French election saves biggest surprise for last, primer from 'vote utile' to the franc @johnleicester  https://t.co/LGCBFfuMCO",1,POSITIVE,0.99818754
54,"Peter Gleason, the lawyer in the middle of the Cohen-Schneiderman-Trump matrix, is no stranger to controversy, and a former candidate for City Council and Manhattan DA https://t.co/2gKTeAwdud",0,NEGATIVE,0.9880822
55,"I wrote this song with @johnleventhal about this particular vortex we find ourselves in, and the faith that we can crawl out of it with dreams intact. The sublime @sarahjarosz was kind enough to sing background harmonies and was joined by moody indie icon @jakobleventhal.",1,POSITIVE,0.9985135
56,French official's comments on Muslim veil manage to offend in all directions: https://t.co/uDm1f9rI5W,0,NEGATIVE,0.99888974
57,@GerrickKennedy lolllll,1,POSITIVE,0.9849134
58,This is based on the fact that the president hasn't died? https://t.co/CuvbnkOkoP,0,NEGATIVE,0.9974897
59,Brussels gets another day of high alert as police hunt Paris attack fugitive https://t.co/AOBc7Hj56b,1,POSITIVE,0.9916177
60,"Before they died, about two dozen patients first sought care at a hospital, which then discharged them, in many cases sending them home to die with hospice care. All were Black. Most came from Ochsner Health, the largest hospital network in Louisiana,. https://t.co/qn4P7W3yFj",1,POSITIVE,0.98055506
61,RT @iankatz1000 Amy Winehouse Was Hacked wp.me/p1x2y8-3u,0,NEGATIVE,0.99713045
62,"How I often feel in Britain:
&lt;iframe src=""https://t.co/sCi9sE98hr"" width=""480"" height=""202"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen&gt;&lt;/iframe&gt;&lt;p&gt;&lt;a href=""https://t.co/Q08oHaywoz""&gt;via GIPHY&lt;/a&gt;&lt;/p&gt;",1,POSITIVE,0.9886504
63,".@SteveDoocy and Kathy Doocy may be coming to a town near you! 

Can’t make it? No worries! To purchase a signed copy of 'The Happy Cookbook' visit: https://t.co/rdjGUBt4zA  https://t.co/Pms1hhhvUG https://t.co/mKazpGo8g8",1,POSITIVE,0.9982394
64,"@thorn_john @TheSkimmers Surpassed by the Niekros? Also, similar to the brother home run combination: the Aarons?",1,POSITIVE,0.9955667
65,"Eric Shawn: Iran's 'stupid diplomats' try again |  https://t.co/1uipR6FnUI. Ummm, getting quite a reaction. #fdd #freedom #IranRegimeChange #Iran #Zarif #ZarifIsAnApologist #democracy #Pompeo #un #UnitedNations #Diplomacy @4freedominiran2 @ICHRI @USUN @StateDept @WSJ @WSJopinion",0,NEGATIVE,0.99471414
66,"Polling expert @tombevanRCP on whether early voting #s can predict the ultimate outcome and whether people tell pollsters the truth!  LISTEN #LivinTheBream 
https://t.co/bExBSOgfnU https://t.co/SmgXMPRoHb",1,POSITIVE,0.9951572
67,"RT @KathViner  I do think sending Liz Jones on an Eat, Pray, Love journey was a brilliant commission by the Mail  http://tinyurl.com/2ed8yhv",1,POSITIVE,0.9985754
68,"Praising Frank RIch for, among other things, giving a shout-out in his farewell column to his illustrators. http://tinyurl.com/4al5f9c",1,POSITIVE,0.99870473
69,@cakes1977 @sryantribune Ouch! That’s cold.,0,NEGATIVE,0.9923424
70,"Great piece by @jmartnyt, @alexburnsnyt: Blaming Muslims After Attack, Donald Trump Tosses Pluralism Aside https://t.co/jiMxbu1885",1,POSITIVE,0.9754662
71,Look at Blue Ivy! https://t.co/EPL6VD4Pkx,1,POSITIVE,0.9981005
72,DEVELOPING: Mike Pompeo Says State Dept. Will Release More Hillary Emails Before Election https://t.co/VfGBEHSDM3,0,NEGATIVE,0.9918237
73,OFF THE CHARTS ENTHUSIASM: President Donald Trump holds 5 rallies in one day! Tune into “Hannity” at 9 PM ET for highlights from the president’s campaign stops.,1,POSITIVE,0.99813056
74,"The terrific film critic Charles Taylor, who should be on Twitter, in a lovely photo  http://tinyurl.com/3ewcb77",1,POSITIVE,0.99829686
75,Oh nooooooo https://t.co/szE9nRhWZx,0,NEGATIVE,0.99228287
76,I remember that day! I had great hair... https://t.co/gwHuDEzpGv,1,POSITIVE,0.9976805
77,@geneweingarten Dick pics.,1,POSITIVE,0.99657667
78,"Joe Biden's supporters danced in the streets across the U.S. after his victory. But not everyone was dancing, and the nation's divisions remained on stark display. https://t.co/Xrkndi6tV6",1,POSITIVE,0.9977811
79,"Those beautiful, stress-free hours before America wakes up.",1,POSITIVE,0.99889946
80,"In the Philippines, ""just hours before Bryant’s death, a Kobe Bryant-inspired basketball court was inaugurated called “House of Kobe”: @sopandeb sizes up Kobe's unmatched global impact from Italy to China and everywhere in between https://t.co/66ODJoJa2O via @NYTSports",1,POSITIVE,0.991421
81,"WME/Endeavor Content has created a list of more than 30 specific action points they plan to take to elevate Black stories and storytellers and make their own ranks more diverse, from $5m donation, to training script readers to flag bias: https://t.co/wjSVgMd4ys",1,POSITIVE,0.99715626
82,"THE VILLAGES, FL: Kathy and I are so excited to see you Friday 10/5 @ 6PM @BNTheVillages
https://t.co/vKBMHVo9Mo",1,POSITIVE,0.9988583
83,"If you've ever loved Harper's, this hurts to read. http://bit.ly/grijo7",0,NEGATIVE,0.99912506
84,😂😂😂😂 https://t.co/eSijTvtpsO,1,POSITIVE,0.9978873
85,"@jdelreal Wow - huge congrats are in order! But man oh man, you will be missed after an incredible run!",1,POSITIVE,0.99638295
86,"Public service announcement: ICYMI, if you need something to lift your spirits, this was how the cast of @hadestown dealt with the blackout last night https://t.co/kYR2mW6xC1",1,POSITIVE,0.9975611
87,"New from me: If you thought you knew the Charlotte Kirk, Kevin Tsujihara story, there's a whole lot more to it... https://t.co/Kas5RDEVj3 via @thr",1,POSITIVE,0.9946297
88,At the anchor desk again today foxnews 1-2 with my office mate @lelandvittert &amp; we want YOU to watch! https://t.co/UD8v4x9r4T,1,POSITIVE,0.9987333
89,Still zero evidence of crime at heart of #Russiagate This is revenge for #Benghazi &amp; #Election2016 example of-what goes around-coming around,0,NEGATIVE,0.9980935
90,"Tonight: our annual viewing of Jodie Foster's ""Home for the Holidays."" A Thanksgiving bon-bon. Worth it for Anne Bancroft's scenes alone.",1,POSITIVE,0.9989082
91,Mike on deck! https://t.co/NJ31XhxOTD,1,POSITIVE,0.9969462
92,Mr. President - we must call evil by its name. These were white supremacists and this was domestic terrorism. https://t.co/PaPNiPPAoW,0,NEGATIVE,0.9975386
93,Really enjoyed talking about memorable/emotional/historic stories @BillHemmer and I have covered.  He's truly one of the very best.  (🤫 Don't tell him I told you ...) https://t.co/Iu4u1NIGOy,1,POSITIVE,0.99884284
94,Why e-books are a weight off my mind | John Naughton http://bit.ly/dhQT1f,1,POSITIVE,0.9982706
95,"Really, Harper's?

""The city of Kenosha is a gray, exurban strip of Lake Michigan frontage with barely a hundred thousand residents. Until this magazine offered to send me there, I had never heard of it.""

https://t.co/EirTvNqEdq",0,NEGATIVE,0.9979879
96,FLORIDA STAYS OPEN: Gov DeSantis Says No New Shutdowns in the Sunshine State https://t.co/3t1Sw4ofqH,1,POSITIVE,0.9973194
97,"These are hard times for everyone, including those in public relations. But I would advise against sending blind pitches that begin with: ""Hi there."" 
Sounds like something said at the Courtyard by Marriott bar near the airport.",0,NEGATIVE,0.9994135
98,Let me clear this up....burger https://t.co/QKeiYC9XpI,1,POSITIVE,0.85014033
99,Journo JOBS! https://t.co/D3GJMmd4gu,1,POSITIVE,0.9970083
100,"@silverrj99 @StateDept I have covered State since 1999. I don't remember any worldwide caution since 2003 being issued as a direct result of a US policy decision. Yes, there have been dozens since, but not due to a US action.",0,NEGATIVE,0.9638215
101,"Fellow Americans, may we always remember how fortunate we are to wake up every day knowing this wonderful country is ours. God Bless you, God Bless America. 🇺🇸 #ProudAmerican  https://t.co/3058Y8W0qN",1,POSITIVE,0.9986321
102,Local NJ library is proudly putting up new shelving ... purchased from Borders everything-must-go sale. #comesaroundgoesaround,1,POSITIVE,0.99854577
103,"You have sparked such a beautiful thing, @iamrodneysmith  - one of our favorite guests ever on @FoxNewsNight! https://t.co/y5RXm4a7Ri",1,POSITIVE,0.99875337
104,"Contrary to what some #Senate Ds say, there's no 60 vote standard when it comes to #SCOTUS nominees. @GorsuchFacts https://t.co/WVhZ6Umi5f",0,NEGATIVE,0.98495185
105,"""Luke, I am your luggage!"" #starwars bags #selfridge #london https://t.co/rPwbsLQirM",0,NEGATIVE,0.98518604
106,https://t.co/G0rsbLL7YT,0,NEGATIVE,0.9588385
107,"@geneweingarten What a coincidence, @geneweingarten! I was just telling some very powerful friends (pals from Davos) on a Zoom chat that your magnificent book, “One Day,” will change the course of humankind by ending all war. Available wherever the enlightened shop, I said. 
They wept.
Openly.",1,POSITIVE,0.98522466
108,Not just @jackshafer: The three other people laid off at Slate are all great. http://t.co/WSj1WBw,1,POSITIVE,0.9967438
109,"So Kim Jong Un now dictates to us as he appoints an official sanctioned by the U.S. for human rights violations, as his #2. Watch my @Foxnews segment with @danielhoffmanDC: https://t.co/8q7knYZA9F. #FoxNews #HumanRightsViolations #Ottowarmbier #UN @UN  @HRF @hrw @realDonaldTrump",0,NEGATIVE,0.99717426
110,Pence:  Harris and Biden support taxpayer-funded abortion up to the moment of birth.  #VPDebate,0,NEGATIVE,0.9974705
111,TRUMP on VACCINE: New Treatment Will ‘End the China Plague’ https://t.co/x40xzjak8B,0,NEGATIVE,0.97228783
112,How an ancient Christian community took action after its members were seized as captives by IS militants in Syria. https://t.co/1buA5xM1Yw,1,POSITIVE,0.9977124
113,"New York, watch out: The amazing @MaraGay is joining @nytopinion as the lead opinion writer on city and state affairs https://t.co/AdznuYFgHy",1,POSITIVE,0.99855745
114,"Just had the distinct pleasure of joining a few others in singing an off-key “Happy Birthday” by Zoom to the one and only Pete Hamill, who is 85 today.",1,POSITIVE,0.57873845
115,"Our @FoxNews reporters are 2nd to none in the field.  Thank you to @MikeTobinFox @jonathanserrie @LelandVittert #SteveHarrigan for accurate, timely coverage in some tough spots tonight.",1,POSITIVE,0.9987527
116,On @ANHQDC with @EricShawnTV at 4:30 ET to talk about whether we should extradite to #Spain activists who entered #NorthKorea's embassy in Madrid. Answer: Never. #FreeJoseon,1,POSITIVE,0.9909199
117,"""Now, get ready for an onslaught of online misogyny unlike anything you’ve ever seen."" - the ever-insightful @ktumulty on Biden's VP pick: https://t.co/xzCZu6aWrx",0,NEGATIVE,0.9961922
118,"FLASHBACK KERRY: ‘There Will Be No Separate Peace Between Israel and the Arab World, No No No!’ https://t.co/U34sMZEL4G",0,NEGATIVE,0.9783092
119,"""We refuse to stand by and watch a vacuum filled by terrorists"" - Kerry on (choose country here) https://t.co/uE1TVrR1aU",1,POSITIVE,0.9947537
120,"Warnings that ISIS nihilism is winning in Egypt's prisons. “This is the year of disappointment and disillusion"" https://t.co/mu3ebRVPMs",0,NEGATIVE,0.99841005
121,"Could #DonaldTrump be charged with Obstruction of Justice? Two former federal prosecutors go at it. One: YES, the other: NO. Watch from @FoxNation:  https://t.co/vHTX2ukSup @FoxNews #FoxNation #FoxNews @realDonaldTrump  Catch ""Riddle: The Search for James R. Hoffa"" on @FoxNation!",0,NEGATIVE,0.997556
122,"Wilson Roosevelt Jerman, a former White House butler who served 11 presidents from Eisenhower to Obama, has died of coronavirus at age 91

https://t.co/lh3CEPtcSX",0,NEGATIVE,0.9950771
123,HERE WE GO AGAIN: Adam Schiff Tells CNN Hunter Biden Emails Just ‘Smear Coming from the Kremlin’ https://t.co/3haj5VoNhu,0,NEGATIVE,0.99922854
124,‘Ghetto children' must be separated from their 'ghetto parents' 25 hours a week to ensure integration in Denmark: https://t.co/uILXBMrD3n,0,NEGATIVE,0.99623626
125,Ada Hegerberg announced a 10-year deal with Nike today. 10 years. Big deal for women’s sports. https://t.co/3APPBsmV9z,1,POSITIVE,0.998708
126,"Catch @benshapiro this morning on the @700club — I caught up with him to talk about his new book, “The Right Side of History,” and what “made the West great.” Faith, he says, is key! @CBNNews #FaithNation https://t.co/lChqA5Edk9",1,POSITIVE,0.9985851
127,"Weakened, Islamic State purging dozens of its own in deadly hunt for spies https://t.co/T1JAgVZ06R",0,NEGATIVE,0.99535155
128,"""He doesn’t trust experts in the field until he has processed it himself"": @JeffCMays @JoeKGoldstein illuminate how a mayor who is routinely indecisive on small matters handled the biggest health crisis yet https://t.co/JZ8ACBsKd3 via @NYTMetro",0,NEGATIVE,0.9930191
129,Senate GOP Introduce Constitutional Amendment’ to Stop ‘Supreme Court Packing’ https://t.co/GJ4pIzKdx1,0,NEGATIVE,0.98596376
130,"Did #KennyLoggins call the cops on me and @janicedean ? 
All of our favorite 80s music stories right here on this podcast! 
What was your favorite 80s song/artist/group? 
Tweet back! #WhatHappensInThe80s ...

https://t.co/XKsDslA4eN https://t.co/V5LwdkZtvg",1,POSITIVE,0.99714714
131,"@KevinMcCarthyTV @foxandfriends Kevin, don't sweat it, thats the excitement of live TV!",1,POSITIVE,0.9975747
132,@SentierBattant Pourriez-vous me suivre pour un DM?,0,NEGATIVE,0.9895034
133,"All these drug commercials say ""If you're allergic to this medication, do not take this medication."" Seriously? You need to say that? Wow.",0,NEGATIVE,0.9993534
134,"@jesseberney Seriously, must I imagine that? I mean, give a guy a break.",0,NEGATIVE,0.9988227
135,Who does Joe Biden think he’s running against? Sean Hannity breaks down Biden’s latest gaffes and scandals tonight at 9 PM ET https://t.co/o27WVHzKTk,0,NEGATIVE,0.99845153
136,I realized last night that my bizarre covid panic dreams are being narrated by the guys who voice negative political ads and my whole world just closed in on itself.,0,NEGATIVE,0.99898523
137,"Took Biscuit Bream for a 3.2 mile walk, stopped for a massive playdate with her neighborhood friend and she's still roaming the house looking for trouble.  😂 #labs",1,POSITIVE,0.99840564
138,HITTING SIDE OF THE MET WITH HAMMER. FUCK YOU PICASSO.,0,NEGATIVE,0.9982752
139,Here is the riveting and eerily prescient @NYTmag story on the freshly indicted Internet Research Agency by the incredibly brave @AdrianChen  https://t.co/sni9VXqOuc,1,POSITIVE,0.99824786
140,@foxnews #fox #foxnews #starsandstripes @starsandstripes #PENTAGON @realDonaldTrump @USAFReserve @usairforce @USArmy @USMC @USNavy #Military @DeptofDefense #journalism #media #newspapers https://t.co/PX6d0oUOgM,0,NEGATIVE,0.9805742
141,Could carbonate fuel cells be the missing link that makes carbon capture work economically? @exxonmobil thinks so https://t.co/1KVyq2JRXq,1,POSITIVE,0.99646676
142,I'm on @foxandfriends at 8:20amEST giving more details about our show's premiere today!! Join me now AND at 5pmEST https://t.co/hrpqZRwjsc,1,POSITIVE,0.99843836
143,"Could the GOP lose the Senate over backlash from the left if Judge Barrett becomes Justice Barrett? 

That and much more with @SenTedCruz – including his new book with some inside scoop from #SCOTUS #LivinTheBream 

https://t.co/Xad0yPzUZR https://t.co/vGuJyyvoIJ",1,POSITIVE,0.991896
144,@daracook @vulture I can't wait to listen! You should come over for a listening party lol,1,POSITIVE,0.9988487
145,Donald Trump on His Tax Rate: ‘It’s None of Your Business’ https://t.co/iCkGqLBVqS via @NYTPolitics,0,NEGATIVE,0.99620926
146,"Audible, one of the favorites on Saturday, is hoping to join Funny Cide as the only New York horse to win the Run for the Roses https://t.co/JDxYUwu9vk via @Ali_Lev @jonathan_wolfe",1,POSITIVE,0.99829614
147,NEWS: The Biden campaign has only hired one state director and the announcement of that first state director only comes today after a week of inquiries about staffing in battlegrounds. A look at how the Biden is lagging in hiring in key states w/@jeneps: https://t.co/nKenlBPPmv,0,NEGATIVE,0.99859303
148,"""I thought that was going to be a positive, but I was wrong"": @katetaylornyt and I report from Boston on the fate of Stanford's ex-sailing coach in the first sentencing of the Varsity Blues college admissions and recruiting scandal https://t.co/BDdiRhVHlV",0,NEGATIVE,0.9980737
149,"24 hours, 15 suicide bombers, 1 battle: A lethal mistake leads to a harrowing ambush in Iraq's Mosul @sgreports  https://t.co/MIZIcCQAOC",1,POSITIVE,0.9877149
150,"Big news out of Missouri via @kurtstreeter: Last year, the WNBA superstar Maya Moore left basketball to fight to overturn the conviction of a prisoner. Today, that man was released, and Moore was there   https://t.co/1sOsXvmCiB",1,POSITIVE,0.99819016
151,Wow https://t.co/vGkbDG1YwE,1,POSITIVE,0.9956951
152,Good afternoon to these wolverines and only these wolverines. https://t.co/buQ9e5e9qn,1,POSITIVE,0.998441
153,"BREAKING:  #SCOTUS confirms Chief Justice Roberts was hospitalized overnight after a fall June 21st.  ""The injury required sutures ... His doctors ruled out a seizure. They believe the fall was likely due to light-headedness caused by dehydration."" More at 11p @FoxNews",0,NEGATIVE,0.9937561
154,"Daniel the golden retriever handled his loss at the Westminster better than the internet did. “He is happy to be home and just hanging out,” his owner told ⁦@Rueby⁩. “This morning, he dug himself a nice hole in the backyard and decided to lie in it.” https://t.co/YquXwA5XJJ",1,POSITIVE,0.99862754
155,"This is an amazing detail

https://t.co/g1FKtXiID8 via @WSJ @rebeccaballhaus @MichaelCBender @learyreports https://t.co/OpyHoMIkyW",1,POSITIVE,0.9978915
156,".@SharkGregNorman: The more things get deregulated, the more money people have in their pockets, the more they spend. It boosts the economy. https://t.co/8dKLxNbu4k",1,POSITIVE,0.9973573
157,I have so mny questions. But none like the ones that poor child must be asking about why his family rejected him. 🥺🥺 https://t.co/KX9vjuiRrH,1,POSITIVE,0.9943434
158,https://t.co/hFBGDFuqYl @foxnews #foxnews #fox @WSJ @johncbussey #politics #Elections2020 @foxnewspolitics,0,NEGATIVE,0.98324764
159,Bits from the campaign trail aka #trailmix with @DanaPerino at 1434est We fact check @SenGillibrand from her town hall. Does @NRA really get most of its money from gun manufacturers? https://t.co/xK15y2fsMi,0,NEGATIVE,0.99705195
160,"30 août 2016
Élysée
Macron donne sa démission

-Tu ne gagneras pas, lance froidement Hollande
-Tout est possible réplique Macron

@LesEchos",1,POSITIVE,0.988667
161,"Ann Coulter said migrant children are ""child actors,"" ""given scripts to read by liberals."" She attributed this to The New Yorker, in whose articles I'm not finding that claim. @jonathanblitzer ?",0,NEGATIVE,0.99870974
162,Turkey wants U.S. special envoy against Islamic State out: https://t.co/dVOxEcFWiL,0,NEGATIVE,0.99765784
163,🙏🏾 https://t.co/YSp1bgUWEY,1,POSITIVE,0.99838316
164,"This isn't any inspiration. This is, ""Forget it, I can't compete,… https://t.co/KOFua7RaEL",0,NEGATIVE,0.9994797
165,This incredible graphic from @Reuters vividly depicts just how harrowing and difficult the cave rescue is https://t.co/3RGpGua4mQ,1,POSITIVE,0.9985447
166,"This is false — has nothing to do with the protests.
@seanhannity is citing an @nytimes story published on May 15, well before the protests.
https://t.co/dBECnUW1lI https://t.co/pxJwbcANCd",0,NEGATIVE,0.99887556
167,"Safe bet, as OED has it to early 15th C.! @BryanAGarner Holson of NYT writing abt whether ""Sheen"" will become verb. I suspect it will.",1,POSITIVE,0.99581814
168,"“Something is wrong with my brain.” Suggested reading for North Carolina coach Larry Fedora, who doubts link between football &amp; CTE: @JulietMacur on Ryan Hoffman, UNC lineman who ended up a homeless addict &amp; died at 41 https://t.co/tdn4r4gxYF",0,NEGATIVE,0.9964891
169,"We need help, the poet reckoned. (I'd forgotten that 'The Stand' begins with Ed Dorn's line, but now my son's reading King and there it is.)",1,POSITIVE,0.9882179
170,More of this!  My Momma is adopted and my BFF too.  I couldn't be more thankful for both of them! https://t.co/looFVCqnG4,1,POSITIVE,0.9987526
171,What says so much @Jamie_Weinstein ‘s interview skills is that these are still so relevant and interesting. https://t.co/8cRw0gXtud,1,POSITIVE,0.99868333
172,"Wonderful: Maine's postal service dismantled huge high-speed sorting machines (36k letters per hour) this summer to sell as scrap metal, against protest from postal workers union. Now, on the eve of the election...they're putting one of them back together  https://t.co/4LHAhuiMFJ",1,POSITIVE,0.9971049
